Exercise,Sets,Reps_or_Time,Rest_Seconds,YouTube_URL
Warm-up light cardio,1,60 seconds,0,https://www.youtube.com/watch?v=ml6cT4AZdqI
Shoulder circles,1,10 forward + 10 backward,0,https://www.youtube.com/watch?v=3Z7x2Zs9ZSU
Cat Cow,1,8 reps,0,https://www.youtube.com/watch?v=kqnua4rHVVA
Active hang (warm-up),2,5 seconds,45,https://www.youtube.com/watch?v=K2VljzCC16g
Band assisted pull-up (25+35kg),3,2 reps,75,https://www.youtube.com/watch?v=F_2YbHnL8K0
Band assisted pull-up (35kg),3,1 rep,90,https://www.youtube.com/watch?v=F_2YbHnL8K0
Active hang (main),4,6-8 seconds,60,https://www.youtube.com/watch?v=K2VljzCC16g
Ring row / TRX row,3,10-12 reps,60,https://www.youtube.com/watch?v=GZbfZ033f74
Hammer curl,2,8-10 reps,60,https://www.youtube.com/watch?v=zC3nLlEvin4
Plank,2,60 seconds,45,https://www.youtube.com/watch?v=pSHjTRCQxIw
Hip flexor lunge stretch,1-2,30 seconds each leg,0,https://www.youtube.com/watch?v=7X0Q3L6l9jM
Seated hamstring stretch,1-2,30 seconds each leg,0,https://www.youtube.com/watch?v=3Vg8h2kF1cI
Butterfly stretch,1,40 seconds,0,https://www.youtube.com/watch?v=2f8Z0s7E6pU
Supported front split,1,30 seconds each leg,0,https://www.youtube.com/watch?v=Yp0q7h0N7mM
